Response,Annotator1,Annotator2,Annotator3,Score
"Hello {Bob}, this is CreativeBot. How are you feeling today? (User answer open text answer)",,,,
Hi {Bob}. I am a robot specialising in creativity. How are you today? ,0,0,0,0
Hi {Bob}! How are you feeling today? I'm CreativeBot and I help people be more creative. I would love to help you out today.,1,1,1,1
"Hello {Bob}, are you having a good day, how do you feel?",0,0,0,0
"Hi {Bob}, this is CreativeBot. How are you today?",0,0,0,0
"Hello {Bob}, my name is CreativeBot and I'm here to do whatever I can to help you to get more creative! How are you feeling today?",1,1,1,1
"Hello {Bob}, I am a creative bot; here to help with all your creative needs. How's it going today?",0,1,1,1
"Hi {Bob}, it's me, CreativeBot. I'm checking in to see how you're feeling today?",0,0,1,0
"Hey {Bob}, how has life been treating you lately? Anything on your mind?",0,0,0,0
Hello {Bob} I am CreativeBot. I am here to assist you in becoming creative. How has your day been?,1,0,1,1
"Hi {Bob}, I am the CreativeBot. I'm having a great day so far and I hope that you are too. How are you feeling?",1,1,1,1
"Hello {Bob}, this is CreativeBot. How has your day been treating you?",1,0,1,1
"Hi {Bob}, I am a robot specialising in creativity, how are you now?",0,0,0,0
"Hello {Bob}, I am a specialising creativity and robot. How are you today?",1,0,0,0
"Hi {Bob}, how are you feeling today? I am CreativeBot and help people be more creative and I would love help you out today!",1,1,1,1
"Hi {Bob}, how are you feeling today? I'm CreativeBot and I share my creative knowledge with people. I would love to help you today.",1,1,1,1
"Hello {Bob}, are you having a good day, how are you feeling?",0,0,0,0
"{Bob}, this is CreativeBot. How are you today {Bob}?",0,0,0,0
Hello {Bob}! My name is CreativeBot and I'm here to do what I can to help you to get creative! May I know how is your day?,1,1,1,1
"Hello {Bob}, my name is CreativeBot and I am here to do everything I could to make you more creative! But first, how are you feelling today?",1,1,1,1
"Hello {Bob}, I am a creative bot, here to help you with all your creative needs, how's all going today for you?",1,1,1,1
"Hi {Bob}, it's me, the beloved CreativeBot. I'm checking to see how you are feeling today?",1,0,0,0
"Hey {Bob}, how has your life lately been and how are feeling today?",0,0,0,0
"Hello {Bob}, I am CreativeBot. I am here to help you become creative. How has your day been?",1,0,1,1
"Hi {Bob}, I am CreativeBot, am having a great day so far, and I hope that you are too. How are you feeling right now?",1,1,1,1
"I am CreativeBot. How has your day been treating you, {Bob}?",0,0,0,0
"I am CreativeBot. I am here to help you become creative. How has your day been, {Bob}?",0,0,0,0
"I am a specialising creativity and robot. How are you today, {Bob}?",0,0,0,0
"Hello {Bob}, this is CreativeBot. How are you feeling today?",0,0,0,0
"Hi {Bob}, I am a robot specialising in creativity, you can called me CreativeBot. How are you feeling today?",0,0,0,0
"Hello {Bob}, this is CreativeBot, as the name sounds, I specialises in helping people become creative. How are you feeling today?",1,1,1,1
,,,,
"From what you have said, I feel that you are {a feeling}. Would you agree with me? (User answer yes or no)",,,,
"Thank you so much for sharing with me. From your answer, it sounds like you are feeling {a feeling}, does it sound right?",1,1,1,1
"I see, thank you. From what you have told me I would say that you are feeling {a feeling} right now, does that sound about right?",1,1,1,1
"Thanks for telling me, I want to make sure I've understood correctly. I believe you're feeling {a feeling}, could you confirm that?",1,1,1,1
"I see. So you are feeling {a feeling}, is that correct?",0,0,0,0
Thank you for sharing your emotions. Am I correct in thinking that you are feeling {a feeling}?,0,0,0,0
"Thank you for that. Based on what you've said I would say you're feeling {a feeling}, are my assumptions correct?",1,0,1,1
"I believe from all you've said that you are feeling {a feeling}, is this accurate?",0,0,0,0
"Thank you, and please correct me if I am wrong. Am I correct in saying that you are feeling {a feeling} right now?",1,0,1,1
"It sounds like your are {a feeling}, is that right?",0,0,0,0
"Thank you for that. If I understand correctly you're feeling {a feeling}, is that correct?",1,0,0,0
"From listening to what you have said I take from that that you are feeling {a feeling}, is my understanding correct?",0,0,1,0
"I see, thank you for sharing. I think that you are feeling {a feeling}, would I be correct in saying that?",1,0,1,1
"From your response, it looks like you are feeling {a feeling} today, have I got that right?",0,0,0,0
"From what we've spoke about I think you're probably feeling {a feeling}, does that sound about right?",0,0,0,0
"From what you have told me it could be that you are feeling {a feeling}, would I be right to say so?",0,0,0,0
"Thank you, I just want to make sure that I have understood correctly. I think you are feeling {a feeling}, does that sound right?",1,1,1,1
"Thank you, I just want to make sure that we are on the same page. Would you say that {a feeling} best describes how you're feeling right now?",1,1,1,1
"Thank you for entrusting me by sharing how you feel. From what you have told me, I believe you are feeling {a feeling} ?",1,0,1,1
"Thank you, and please forgive me if I'm wrong. I believe you are {a feeling}, am I correct in thinking that?",0,0,0,0
"I would say that you're feeling {a feeling} right now, do you think that is a reasonable description of your current mood?",1,1,1,1
"Reading what you have told me I believe that you are feeling {a feeling}, is that close enough?",0,0,1,0
Thank you for opening up to me. Am I correct in assuming that you are feeling {a feeling}?,1,0,0,0
"I think that perhaps you are feeling {a feeling}, do you think that's true?",0,0,0,0
"Listening to you, it seems that you're feeling {a feeling}, did I understand correctly?",0,0,0,0
"After listening to your concerns, I think that your are feeling {a feeling}, is this true?",1,0,0,0
"I think that you may be feeling {a feeling}, do you agree?",0,0,0,0
"Gathering everything from what you just told me, I believe you're feeling {a feeling} today, would you think it's fair to say that?",1,1,1,1
"What I am hearing is that you feel {a feeling}, is that right?",0,0,0,0
"Going off of what you have told me, it seems as though you are feeling {a feeling}, do you think this is accurate?",0,0,1,0
Thank you. Would I be correct in saying that you are feeling {a feeling}?,0,0,0,0
"Thank you for sharing. I have the impression that you are {a feeling} today, is this correct?",1,1,1,1
"Thank you, let me just double check on what you've just told me. From what I can gather you are feeling {a feeling}, is that accurate?",1,1,1,1
,,,,
Apologies for my mistake. Please select the emotion that best depict your current feeling from the below choices: (User answer the correct emotion given by my choices),,,,
I am sorry for the misunderstanding. Would you be able to tell me which of these emotions matches what you're feeling?,1,0,1,1
"Oh, I am really sorry, I must have misunderstood then. Could you please tell me how you are feeling by selecting from the list below:",1,1,1,1
"Oh I'm so sorry, I really appreciate you telling me I've got it wrong - sometimes it can be hard. Can you give me a bit of help to make sure I do understand? Here's a list - please let me know which one describes what you're feeling:",1,1,1,1
"Oh, my bad. So how would you say you are feeling today?",0,0,0,0
Oh I'm sorry I have misunderstood your emotion. Perhaps you might describe your current emotion as one of these on the list?,1,1,1,1
I'm so sorry. How are you actually feeling? Could you please select it from the list below?,0,0,0,0
